,Date,Day,GW,Was Home,Min,Gls,Sh,SoT,xG,npxG,xAG,CS
0,2021-08-14,Sat,1,0.0,90.0,1.0,5.0,2.0,0.3,0.3,0.7,1.0
1,2021-08-21,Sat,2,1.0,90.0,0.0,5.0,1.0,0.4,0.4,0.1,1.0
2,2021-08-28,Sat,3,1.0,90.0,1.0,2.0,1.0,1.1,0.3,0.2,0.0
4,2021-09-12,Sun,4,0.0,90.0,1.0,3.0,1.0,0.9,0.9,0.8,1.0
6,2021-09-18,Sat,5,1.0,90.0,1.0,6.0,5.0,0.5,0.5,0.2,1.0
8,2021-09-25,Sat,6,0.0,90.0,1.0,3.0,1.0,1.6,1.6,0.0,0.0
10,2021-10-03,Sun,7,1.0,90.0,1.0,3.0,1.0,0.2,0.2,0.6,0.0
13,2021-10-16,Sat,8,0.0,90.0,1.0,5.0,3.0,0.3,0.3,0.3,1.0
15,2021-10-24,Sun,9,0.0,90.0,3.0,7.0,4.0,1.3,1.3,0.7,1.0
17,2021-10-30,Sat,10,1.0,90.0,0.0,2.0,1.0,0.1,0.1,0.6,0.0
19,2021-11-07,Sun,11,0.0,90.0,0.0,2.0,0.0,0.1,0.1,0.2,0.0
22,2021-11-20,Sat,12,1.0,90.0,1.0,4.0,2.0,1.3,1.3,0.2,1.0
24,2021-11-27,Sat,13,1.0,90.0,0.0,4.0,0.0,0.1,0.1,0.9,1.0
25,2021-12-01,Wed,14,0.0,90.0,2.0,5.0,3.0,1.4,1.4,0.0,0.0
26,2021-12-04,Sat,15,0.0,89.0,0.0,2.0,1.0,0.2,0.2,0.5,1.0
28,2021-12-11,Sat,16,1.0,90.0,1.0,5.0,1.0,1.1,0.3,0.0,1.0
29,2021-12-16,Thu,17,1.0,73.0,1.0,4.0,1.0,0.7,0.7,0.2,0.0
30,2021-12-19,Sun,18,0.0,90.0,0.0,2.0,0.0,0.1,0.1,0.1,0.0
32,2021-12-28,Tue,20,0.0,90.0,0.0,4.0,1.0,1.1,0.1,0.1,0.0
33,2022-01-02,Sun,21,0.0,90.0,1.0,4.0,3.0,0.5,0.5,0.2,0.0
41,2022-02-10,Thu,24,1.0,31.0,0.0,4.0,3.0,0.5,0.5,0.1,1.0
42,2022-02-13,Sun,25,0.0,90.0,0.0,1.0,0.0,0.2,0.2,0.0,1.0
44,2022-02-19,Sat,26,1.0,90.0,1.0,8.0,2.0,1.1,1.1,0.7,0.0
45,2022-02-23,Wed,19,1.0,90.0,2.0,4.0,1.0,2.5,0.9,0.5,1.0
48,2022-03-05,Sat,28,1.0,78.0,0.0,6.0,3.0,0.7,0.7,0.1,1.0
50,2022-03-12,Sat,29,0.0,64.0,1.0,6.0,2.0,1.4,0.6,0.2,1.0
51,2022-03-16,Wed,27,0.0,35.0,0.0,3.0,0.0,0.2,0.2,0.0,1.0
54,2022-04-02,Sat,31,1.0,68.0,0.0,3.0,0.0,0.1,0.1,0.0,1.0
56,2022-04-10,Sun,32,0.0,90.0,0.0,1.0,0.0,0.1,0.1,0.9,0.0
59,2022-04-19,Tue,30,1.0,90.0,2.0,4.0,2.0,0.8,0.8,0.5,1.0
60,2022-04-24,Sun,34,1.0,90.0,0.0,2.0,0.0,0.2,0.2,0.3,1.0
62,2022-04-30,Sat,35,0.0,22.0,0.0,2.0,1.0,0.1,0.1,0.0,1.0
64,2022-05-07,Sat,36,1.0,90.0,0.0,3.0,0.0,0.4,0.4,0.1,0.0
65,2022-05-10,Tue,33,0.0,19.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0
68,2022-05-22,Sun,38,1.0,33.0,1.0,8.0,3.0,1.0,1.0,0.0,0.0
1,2022-08-06,Sat,1,0.0,90.0,1.0,2.0,1.0,0.4,0.4,0.1,0.0
2,2022-08-15,Mon,2,1.0,90.0,0.0,3.0,1.0,0.3,0.3,0.8,0.0
3,2022-08-22,Mon,3,0.0,90.0,1.0,3.0,1.0,0.3,0.3,0.3,0.0
4,2022-08-27,Sat,4,1.0,90.0,0.0,4.0,1.0,1.2,1.2,0.1,1.0
5,2022-08-31,Wed,5,1.0,90.0,0.0,2.0,0.0,0.2,0.2,0.4,0.0
6,2022-09-03,Sat,6,0.0,90.0,0.0,3.0,1.0,0.2,0.2,0.2,1.0
10,2022-10-01,Sat,9,1.0,90.0,0.0,5.0,2.0,0.6,0.6,0.1,0.0
12,2022-10-09,Sun,10,0.0,68.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0
14,2022-10-16,Sun,11,1.0,89.0,1.0,3.0,1.0,0.9,0.9,0.0,1.0
15,2022-10-19,Wed,12,1.0,90.0,0.0,6.0,2.0,0.4,0.4,0.0,1.0
16,2022-10-22,Sat,13,0.0,90.0,0.0,4.0,2.0,0.3,0.3,0.1,0.0
18,2022-10-29,Sat,14,1.0,90.0,1.0,7.0,3.0,0.8,0.8,0.2,0.0
20,2022-11-06,Sun,15,0.0,89.0,2.0,3.0,3.0,0.7,0.7,0.0,0.0
22,2022-11-12,Sat,16,1.0,90.0,0.0,4.0,2.0,0.8,0.8,0.0,0.0
25,2022-12-26,Mon,17,0.0,90.0,1.0,3.0,2.0,0.8,0.8,0.4,0.0
26,2022-12-30,Fri,18,1.0,90.0,0.0,4.0,2.0,1.0,1.0,0.1,0.0
27,2023-01-02,Mon,19,0.0,90.0,0.0,1.0,0.0,0.1,0.1,0.8,0.0
29,2023-01-14,Sat,20,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0
31,2023-01-21,Sat,21,1.0,90.0,0.0,1.0,0.0,0.1,0.1,0.1,1.0
33,2023-02-04,Sat,22,0.0,90.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0
34,2023-02-13,Mon,23,1.0,89.0,1.0,6.0,3.0,1.1,1.1,0.0,1.0
35,2023-02-18,Sat,24,0.0,90.0,0.0,2.0,1.0,0.2,0.2,0.3,1.0
37,2023-02-25,Sat,25,0.0,90.0,0.0,3.0,1.0,0.1,0.1,0.3,1.0
38,2023-03-01,Wed,7,1.0,90.0,1.0,2.0,1.0,0.7,0.7,0.2,1.0
39,2023-03-05,Sun,26,1.0,90.0,2.0,3.0,2.0,0.7,0.7,0.6,1.0
40,2023-03-11,Sat,27,0.0,90.0,0.0,1.0,1.0,0.9,0.1,0.0,0.0
44,2023-04-01,Sat,29,0.0,69.0,1.0,2.0,1.0,0.2,0.2,0.1,0.0
45,2023-04-04,Tue,8,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,2023-04-09,Sun,30,1.0,90.0,1.0,9.0,3.0,2.1,1.4,0.4,0.0
47,2023-04-17,Mon,31,0.0,80.0,2.0,3.0,2.0,0.7,0.7,0.0,0.0
48,2023-04-22,Sat,32,1.0,90.0,1.0,3.0,1.0,0.4,0.4,0.1,0.0
49,2023-04-26,Wed,33,0.0,90.0,0.0,3.0,0.0,0.1,0.1,0.0,0.0
50,2023-04-30,Sun,34,1.0,90.0,1.0,2.0,0.0,0.9,0.1,0.0,0.0
51,2023-05-03,Wed,28,1.0,83.0,1.0,2.0,0.0,1.2,0.4,0.2,1.0
52,2023-05-06,Sat,35,1.0,90.0,1.0,3.0,2.0,1.0,1.0,0.2,1.0
53,2023-05-15,Mon,36,0.0,87.0,0.0,5.0,1.0,0.9,0.9,0.9,1.0
54,2023-05-20,Sat,37,1.0,90.0,0.0,2.0,1.0,0.1,0.1,0.4,0.0
55,2023-05-28,Sun,38,0.0,90.0,0.0,8.0,1.0,1.2,1.2,0.2,0.0
